Time_Key,Start_Time,End_Time
0,00:00:00,00:15:00
1500,00:15:00,00:30:00
3000,00:30:00,00:45:00
4500,00:45:00,01:00:00
10000,01:00:00,01:15:00
11500,01:15:00,01:30:00
13000,01:30:00,01:45:00
14500,01:45:00,02:00:00
20000,02:00:00,02:15:00
21500,02:15:00,02:30:00
23000,02:30:00,02:45:00
24500,02:45:00,03:00:00
30000,03:00:00,03:15:00
31500,03:15:00,03:30:00
33000,03:30:00,03:45:00
34500,03:45:00,04:00:00
40000,04:00:00,04:15:00
41500,04:15:00,04:30:00
43000,04:30:00,04:45:00
44500,04:45:00,05:00:00
50000,05:00:00,05:15:00
51500,05:15:00,05:30:00
53000,05:30:00,05:45:00
54500,05:45:00,06:00:00
60000,06:00:00,06:15:00
61500,06:15:00,06:30:00
63000,06:30:00,06:45:00
64500,06:45:00,07:00:00
70000,07:00:00,07:15:00
71500,07:15:00,07:30:00
73000,07:30:00,07:45:00
74500,07:45:00,08:00:00
80000,08:00:00,08:15:00
81500,08:15:00,08:30:00
83000,08:30:00,08:45:00
84500,08:45:00,09:00:00
90000,09:00:00,09:15:00
91500,09:15:00,09:30:00
93000,09:30:00,09:45:00
94500,09:45:00,10:00:00
100000,10:00:00,10:15:00
101500,10:15:00,10:30:00
103000,10:30:00,10:45:00
104500,10:45:00,11:00:00
110000,11:00:00,11:15:00
111500,11:15:00,11:30:00
113000,11:30:00,11:45:00
114500,11:45:00,12:00:00
120000,12:00:00,12:15:00
121500,12:15:00,12:30:00
123000,12:30:00,12:45:00
124500,12:45:00,13:00:00
130000,13:00:00,13:15:00
131500,13:15:00,13:30:00
133000,13:30:00,13:45:00
134500,13:45:00,14:00:00
140000,14:00:00,14:15:00
141500,14:15:00,14:30:00
143000,14:30:00,14:45:00
144500,14:45:00,15:00:00
150000,15:00:00,15:15:00
151500,15:15:00,15:30:00
153000,15:30:00,15:45:00
154500,15:45:00,16:00:00
160000,16:00:00,16:15:00
161500,16:15:00,16:30:00
163000,16:30:00,16:45:00
164500,16:45:00,17:00:00
170000,17:00:00,17:15:00
171500,17:15:00,17:30:00
173000,17:30:00,17:45:00
174500,17:45:00,18:00:00
180000,18:00:00,18:15:00
181500,18:15:00,18:30:00
183000,18:30:00,18:45:00
184500,18:45:00,19:00:00
190000,19:00:00,19:15:00
191500,19:15:00,19:30:00
193000,19:30:00,19:45:00
194500,19:45:00,20:00:00
200000,20:00:00,20:15:00
201500,20:15:00,20:30:00
203000,20:30:00,20:45:00
204500,20:45:00,21:00:00
210000,21:00:00,21:15:00
211500,21:15:00,21:30:00
213000,21:30:00,21:45:00
214500,21:45:00,22:00:00
220000,22:00:00,22:15:00
221500,22:15:00,22:30:00
223000,22:30:00,22:45:00
224500,22:45:00,23:00:00
230000,23:00:00,23:15:00
231500,23:15:00,23:30:00
233000,23:30:00,23:45:00
234500,23:45:00,00:00:00
